Frame	<Rg2> (A2)	std_Rg2 (A2)
0	211.39317148	81.35888201
1	211.32849760	81.98477659
2	211.70063810	81.81407355
3	210.71193272	81.82067209
4	211.24715251	82.30127469
5	211.13055100	81.34016435
6	210.57054616	81.52692119
7	211.22067844	82.25880224
8	211.64680473	82.55821681
9	210.61786181	81.75663515
10	210.47810277	81.93559970
11	211.19372482	81.79573466
12	211.39388272	82.30056125
13	211.09877246	82.44709567
14	210.48742240	81.02192158
15	210.72808332	81.59013137
16	210.82677703	82.08352381
17	211.31640898	81.37136300
18	210.95502667	81.80131887
19	211.13537373	81.14744992
20	211.04374198	81.13993201
21	210.85949808	81.55056564
22	211.21529101	81.21042978
23	210.39720890	81.61874849
24	210.56314883	80.57050018
25	211.49463817	82.27269691
26	211.54477835	81.75776844
27	211.33448946	81.92348749
28	210.77934230	81.28291333
29	211.52915666	82.80123099
30	210.84989065	81.58349889
31	210.82401225	81.70796132
32	210.90487645	81.71101667
33	210.81043502	80.84263370
34	210.55516694	81.07951673
35	211.56724892	81.49139009
36	211.47308955	81.87845664
37	211.10761203	80.98211852
38	211.29470643	81.74812319
39	211.12130954	82.05001882
40	211.17121429	81.34200548
41	211.15194188	81.46620166
42	210.87835032	81.68043407
43	211.14134721	81.73915563
44	210.92575763	81.65973248
45	211.37091959	81.66652856
46	211.53806820	82.20231068
47	211.32530859	81.77040229
48	210.63522883	81.89555345
49	211.18078640	82.04555862
50	211.62854363	81.77940333
51	210.42014178	81.19812654
52	211.84050909	82.29087535
53	211.14399484	81.51014326
54	210.99116864	82.09205947
55	211.53902095	81.87625746
56	211.32157632	81.33777829
57	211.91231969	82.14075583
58	211.18926866	82.30618192
59	211.16015387	80.76934532
60	211.22302193	81.91023059
61	210.85375857	81.62394770
62	212.10548229	82.06355021
63	211.53723323	81.66616875
64	211.69234899	81.82954360
65	211.19629626	82.16497237
66	211.35787856	81.62355027
67	210.61993199	81.13763273
68	210.84949315	81.76188844
69	210.76985583	81.25665914
70	211.01608334	80.53111936
71	210.96751220	81.60765971
72	210.88050946	80.91336270
73	210.70455301	81.67201233
74	210.98613547	80.74390751
75	211.36871072	81.22362264
76	211.28135408	81.76524137
77	211.58461892	82.03412281
78	211.22589660	81.12774598
79	211.20424051	81.23287667
80	210.14332485	80.69729757
81	211.23697189	82.15245890
82	211.10882568	82.08520103
83	210.98603757	81.45583474
84	211.07897276	81.24231636
85	212.16483091	81.74974167
86	211.41413004	82.42460018
87	210.77101907	81.21846078
88	210.81585634	81.83602242
89	211.50853541	82.19889207
90	211.12234915	81.45147767
91	211.32944658	82.05907575
92	211.31638268	82.05061711
93	211.58815998	82.50771102
94	211.00241756	81.43879171
95	212.00552930	82.95613932
96	211.57884900	82.22124195
97	211.29055406	80.62473213
98	211.41390428	81.67972413
99	211.08560911	82.00307560
100	211.86804953	82.58531143
101	211.55099027	81.84103474
102	211.30007570	81.42725591
103	211.63842643	82.27012738
104	211.29307481	81.84140882
105	211.21315114	81.99699777
106	211.32464390	82.08406484
107	211.32186516	81.64531185
108	212.30967232	82.54060605
109	211.25830429	81.98061723
110	211.23065891	82.16628322
111	211.93191024	82.67263472
112	211.94623730	82.20755029
113	211.45596830	81.67470660
114	211.91364122	82.70931086
115	211.06063128	81.62652695
116	210.92760647	81.81311421
117	211.44063853	82.35051436
118	210.84991465	82.11347863
119	211.01882670	80.99791757
120	210.46996737	82.49992117
121	210.62473780	82.24946899
122	211.11290692	81.56785471
123	210.96693102	82.18356362
124	211.16507440	81.21901797
125	210.10243369	81.09725092
126	211.39461556	81.74428556
127	211.25937216	81.78218713
128	210.09043855	81.51959378
129	211.04568873	81.84083156
130	210.96396349	81.59549001
131	210.44288623	81.92780455
132	210.45353331	81.00382735
133	210.71239400	81.24979875
134	211.29653641	81.92060950
135	211.67798816	81.58873103
136	211.50876456	81.61605829
137	211.06990133	82.00377097
138	211.17609611	82.67414901
139	210.96443822	81.51721969
140	210.78762710	82.29727496
141	210.16459311	81.28301238
142	211.42276990	81.34413349
143	210.98536525	81.98532707
144	211.64605549	82.69683520
145	210.87247865	81.23013069
146	211.40736043	81.52188805
147	210.90031191	82.38859722
148	210.64571573	81.83055878
149	210.72761165	81.51555770
150	210.57120441	81.70292584
151	211.57152155	81.63458296
152	210.64611549	81.80028916
153	210.87330476	81.49624793
154	211.70974600	82.08369543
155	210.22542846	82.08390779
156	211.34636335	82.07102894
157	211.07293954	81.85668271
158	211.31400512	81.84554757
159	210.73490105	81.09750958
160	210.92360762	81.40199359
161	210.88532773	81.96009629
162	211.19304345	81.34615400
163	210.77144418	81.04365721
164	211.02442905	81.45527799
165	210.84494115	81.30960951
166	211.10465427	80.73424267
167	210.90247670	81.99913445
168	211.23992173	81.03310004
169	211.12217278	81.32386508
170	210.85528041	80.37225129
171	211.06998726	81.06565628
172	211.21626881	81.57860023
173	211.55799628	81.47993502
174	210.57188439	80.75381206
175	210.62331449	81.52209981
176	210.98726869	81.55167729
177	211.12440896	81.22414966
178	211.63283438	82.03000014
179	211.37529916	81.73243370
180	210.20065567	81.07977806
181	210.65651323	80.94765616
182	211.63281685	82.27665952
183	211.80107609	82.05912428
184	210.43200447	81.22793875
185	210.58417071	81.08469545
186	211.16539197	81.75648770
187	211.06870842	80.78753023
188	211.80543620	82.79064885
189	210.11845995	81.26044579
190	210.61497686	81.47592147
191	211.48614624	81.90893651
192	210.72009545	81.29412472
193	211.43325895	81.92083564
194	211.64100452	81.98317023
195	211.90648896	81.69269922
196	211.88310379	82.02431893
197	212.56482615	82.68898610
198	211.51630413	81.51699179
199	211.58047362	81.35899677
200	212.08203492	81.83064777
201	211.31600891	81.73416962
202	211.80334471	81.99143862
203	211.69780888	81.45600417
204	211.36868181	81.04895360
205	211.89858624	82.14280996
206	212.14555389	81.99623048
207	211.59265332	81.80675840
208	211.36205866	81.73356981
209	212.32278254	81.95728807
210	210.70287937	81.32539979
211	211.59639244	82.24482260
212	212.02871012	82.37239251
213	211.64097840	82.67181973
214	211.41627127	82.23423520
215	212.11344960	82.27503307
216	211.15758078	81.26403233
217	211.86225352	82.56407066
218	211.30168519	82.22423291
219	210.89327464	81.49021628
220	212.31031080	82.40350017
221	211.75090880	82.05395338
222	212.22998445	82.11527226
223	212.39005742	82.34417953
224	212.17367251	82.17593538
225	212.07048233	82.28389657
226	212.67361663	82.88366825
227	211.23221705	80.94103526
228	211.40223153	81.85231040
229	211.46119950	82.24099261
230	211.77426767	81.35986375
231	211.71757932	83.01688813
232	210.89365553	81.51928102
233	211.56641724	81.21843203
234	211.43127072	81.74816228
235	211.06093431	81.30156757
236	211.68946971	81.47664112
237	211.59774104	81.93650649
238	210.65976779	80.95656100
239	211.41584057	80.68631174
240	211.03654814	81.22660483
241	210.80357251	81.59576668
242	212.00990745	81.64262485
243	212.32907592	82.11418073
244	211.67589700	81.01601881
245	211.58611055	80.89030905
246	211.87717323	82.08023298
247	211.65785014	81.41996411
248	211.75284772	81.51087103
249	211.34224792	81.47390726
250	211.98864252	82.30588816
251	211.67371840	81.23190350
252	211.73473424	81.22582046
253	211.74837731	81.45191943
254	211.12292357	80.65836491
255	211.74006250	81.24935610
256	211.67282224	81.13465149
257	210.95983781	81.37215607
258	210.81614081	81.70452803
259	211.91038525	81.90074621
260	211.79928837	81.89809253
261	211.31042084	81.31546994
262	211.57760764	81.78907432
263	212.47599501	82.08470367
264	211.71048676	82.76175626
265	211.22094701	81.11825164
266	211.87113233	82.86899973
267	211.93802684	82.10133489
268	211.33831512	81.15623437
269	211.77570674	81.83452171
270	211.04365800	81.54323762
271	211.57975780	81.85108447
272	211.50216729	81.58408140
273	212.23210702	81.92827973
274	212.07021252	82.45023578
275	210.90684945	82.26701844
276	211.82243027	82.18124397
277	211.77450870	82.10971449
278	212.20796304	82.39698329
279	211.83095339	82.16262947
280	210.86672272	81.02361504
281	212.16775488	82.04764215
282	211.30394408	81.15267391
283	211.71099981	81.42690121
284	211.59360062	82.06267552
285	211.82811484	81.77540562
286	211.03224747	81.20277265
287	211.36681511	81.66395602
288	211.52679659	81.96667018
289	211.18259536	81.66517113
290	211.11423746	81.59174489
291	211.74765173	81.45330597
292	211.80635247	81.83150329
293	211.56223738	81.88627503
294	211.13152293	81.65690512
295	211.37233153	81.78016846
296	211.35521951	80.97613493
297	211.80591330	80.90496096
298	211.99195604	82.32740963
299	211.96258008	81.50087037
300	211.20896815	82.21714793
